suffixed,base,country_code,status,resolves_to_today,suffixed_resolves_to_today
OFI Crete (GRE),OFI Crete,GRE,NEW_CANONICAL_NEEDED,OFI Crete,OFI Crete (GRE)
Panathinaikos (GRE),Panathinaikos,GRE,NEW_CANONICAL_NEEDED,Panathinaikos,Panathinaikos (GRE)
PAOK (GRE),PAOK,GRE,NEW_CANONICAL_NEEDED,PAOK,PAOK (GRE)
PSV (NED),PSV,NED,ALREADY_CANONICAL,PSV,PSV (NED)
Qarabag (AZE),Qarabag,AZE,ALREADY_CANONICAL,Qarabag,Qarabag (AZE)
Rakow (POL),Rakow,POL,NEW_CANONICAL_NEEDED,Rakow,Rakow (POL)
Rangers (SCO),Rangers,SCO,ALREADY_CANONICAL,Rangers,Rangers (SCO)
RB Leipzig (GER),RB Leipzig,GER,ALREADY_CANONICAL,RB Leipzig,RB Leipzig (GER)
Rijeka (CRO),Rijeka,CRO,NEW_CANONICAL_NEEDED,Rijeka,Rijeka (CRO)
Royale Union SG (BEL),Royale Union SG,BEL,NEW_CANONICAL_NEEDED,Royale Union SG,Royale Union SG (BEL)
Sabah Baku (AZE),Sabah Baku,AZE,NEW_CANONICAL_NEEDED,Sabah Baku,Sabah Baku (AZE)
Salzburg (AUT),Salzburg,AUT,NEW_CANONICAL_NEEDED,Salzburg,Salzburg (AUT)
Shamrock Rovers (IRL),Shamrock Rovers,IRL,NEW_CANONICAL_NEEDED,Shamrock Rovers,Shamrock Rovers (IRL)
Shelbourne (IRL),Shelbourne,IRL,NEW_CANONICAL_NEEDED,Shelbourne,Shelbourne (IRL)
Sheriff Tiraspol (MDA),Sheriff Tiraspol,MDA,ALREADY_CANONICAL,Sheriff Tiraspol,Sheriff Tiraspol (MDA)
Sion (SUI),Sion,SUI,NEW_CANONICAL_NEEDED,Sion,Sion (SUI)
SK Rapid (AUT),SK Rapid,AUT,NEW_CANONICAL_NEEDED,SK Rapid,SK Rapid (AUT)
Slovan Bratislava (SVK),Slovan Bratislava,SVK,ALREADY_CANONICAL,Slovan Bratislava,Slovan Bratislava (SVK)
St. Gallen (SUI),St. Gallen,SUI,NEW_CANONICAL_NEEDED,St. Gallen,St. Gallen (SUI)
St. Truiden (BEL),St. Truiden,BEL,NEW_CANONICAL_NEEDED,St. Truiden,St. Truiden (BEL)
Sturm Graz (AUT),Sturm Graz,AUT,ALREADY_CANONICAL,Sturm Graz,Sturm Graz (AUT)
Thun (SUI),Thun,SUI,NEW_CANONICAL_NEEDED,Thun,Thun (SUI)
Trabzonspor (TUR),Trabzonspor,TUR,NEW_CANONICAL_NEEDED,Trabzonspor,Trabzonspor (TUR)
Tromso (NOR),Tromso,NOR,NEW_CANONICAL_NEEDED,Tromso,Tromso (NOR)
Twente (NED),Twente,NED,NEW_CANONICAL_NEEDED,Twente,Twente (NED)
Vaduz (LIE),Vaduz,LIE,NEW_CANONICAL_NEEDED,Vaduz,Vaduz (LIE)
VfB Stuttgart (GER),VfB Stuttgart,GER,ALREADY_CANONICAL,VfB Stuttgart,VfB Stuttgart (GER)
Viking (NOR),Viking,NOR,NEW_CANONICAL_NEEDED,Viking,Viking (NOR)
